diff,source_count,table,target_count
7,7,attachments,0
1,1,chat_message_attachments,0
3,3,chat_message_reactions,0
0,0,chat_message_reports,0
35,35,chat_messages,0
0,0,chat_moderation_actions,0
3,3,chat_poll_options,0
2,2,chat_poll_votes,0
1,1,chat_polls,0
12,12,chat_rate_limit_hits,0
0,0,chat_room_bans,0
6,6,chat_room_invites,0
9,9,chat_room_memberships,0
0,0,chat_room_mutes,0
0,0,chat_room_typing,0
5,5,chat_rooms,0
3,3,comment_reactions,0
8,8,deet_comments,0
7,7,deet_likes,0
4,4,deet_shares,0
37,37,deet_views,0
14,14,deets,0
0,0,event_rsvps,0
1,1,events,0
1,1,hub_contact_invites,0
0,0,hub_ctas,0
0,0,hub_invitations,0
4,4,hub_join_links,0
8,8,hub_members,0
0,0,hub_section_items,0
0,0,hub_sections,0
3,3,hubs,0
8,8,poll_votes,0
0,0,profile_comments,0
1,1,profile_likes,0
5,5,profiles,0
2,2,survey_responses,0
0,0,user_reports,0
